[13:56:01] [main/ERROR]: Failed to load properties from file: server.properties
[13:56:13] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[13:56:13] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[13:56:13] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[13:56:13] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[13:56:13] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[13:56:14] [Server thread/INFO]: Starting minecraft server version 1.15.2
[13:56:14] [Server thread/INFO]: Loading properties
[13:56:14] [Server thread/INFO]: Default game type: SURVIVAL
[13:56:14] [Server thread/INFO]: Generating keypair
[13:56:15] [Server thread/INFO]: Starting Minecraft server on *:25565
[13:56:15] [Server thread/INFO]: Using epoll channel type
[13:56:15] [Server thread/INFO]: Preparing level "world"
[13:58:53] [Server-Worker-1/INFO]: Preparing spawn area: 56%
[13:58:53] [Server-Worker-1/INFO]: Preparing spawn area: 56%
[13:58:54] [Server-Worker-1/INFO]: Preparing spawn area: 59%
[13:58:54] [Server-Worker-1/INFO]: Preparing spawn area: 60%
[13:58:55] [Server-Worker-1/INFO]: Preparing spawn area: 61%
[13:58:55] [Server-Worker-1/INFO]: Preparing spawn area: 62%
[13:58:56] [Server-Worker-1/INFO]: Preparing spawn area: 63%
[13:58:56] [Server-Worker-1/INFO]: Preparing spawn area: 65%
[13:58:57] [Server-Worker-1/INFO]: Preparing spawn area: 66%
[13:58:57] [Server-Worker-1/INFO]: Preparing spawn area: 67%
[13:58:58] [Server-Worker-1/INFO]: Preparing spawn area: 68%
[13:58:58] [Server-Worker-1/INFO]: Preparing spawn area: 69%
[13:58:59] [Server-Worker-1/INFO]: Preparing spawn area: 69%
[13:58:59] [Server-Worker-1/INFO]: Preparing spawn area: 70%
[13:59:00] [Server-Worker-1/INFO]: Preparing spawn area: 72%
[13:59:00] [Server-Worker-1/INFO]: Preparing spawn area: 72%
[13:59:01] [Server-Worker-1/INFO]: Preparing spawn area: 73%
[13:59:02] [Server-Worker-1/INFO]: Preparing spawn area: 74%
[13:59:02] [Server-Worker-1/INFO]: Preparing spawn area: 74%
[13:59:02] [Server-Worker-1/INFO]: Preparing spawn area: 75%
[13:59:03] [Server-Worker-1/INFO]: Preparing spawn area: 76%
[13:59:03] [Server-Worker-1/INFO]: Preparing spawn area: 77%
[13:59:04] [Server-Worker-1/INFO]: Preparing spawn area: 78%
[13:59:04] [Server-Worker-1/INFO]: Preparing spawn area: 79%
[13:59:05] [Server-Worker-1/INFO]: Preparing spawn area: 80%
[13:59:05] [Server-Worker-1/INFO]: Preparing spawn area: 81%
[13:59:06] [Server-Worker-1/INFO]: Preparing spawn area: 82%
[13:59:07] [Server-Worker-1/INFO]: Preparing spawn area: 83%
[13:59:07] [Server-Worker-1/INFO]: Preparing spawn area: 84%
[13:59:07] [Server-Worker-1/INFO]: Preparing spawn area: 85%
[13:59:08] [Server-Worker-1/INFO]: Preparing spawn area: 86%
[13:59:08] [Server-Worker-1/INFO]: Preparing spawn area: 86%
[13:59:09] [Server-Worker-1/INFO]: Preparing spawn area: 88%
[13:59:09] [Server-Worker-1/INFO]: Preparing spawn area: 90%
[13:59:10] [Server-Worker-1/INFO]: Preparing spawn area: 90%
[13:59:10] [Server-Worker-1/INFO]: Preparing spawn area: 91%
[13:59:11] [Server-Worker-1/INFO]: Preparing spawn area: 92%
[13:59:12] [Server-Worker-1/INFO]: Preparing spawn area: 93%
[13:59:12] [Server-Worker-1/INFO]: Preparing spawn area: 94%
[13:59:12] [Server-Worker-1/INFO]: Preparing spawn area: 96%
[13:59:13] [Server-Worker-1/INFO]: Preparing spawn area: 96%
[13:59:13] [Server-Worker-1/INFO]: Preparing spawn area: 97%
[13:59:14] [Server thread/INFO]: Time elapsed: 79896 ms
[13:59:14] [Server thread/INFO]: Done (178.576s)! For help, type "help"
[13:59:15] [Server thread/INFO]: Unknown command
[13:59:15] [Server thread/INFO]: [B<--[HERE]
[13:59:17] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2055ms or 41 ticks behind
[13:59:58] [Server thread/INFO]: Unknown command
[13:59:58] [Server thread/INFO]: exit<--[HERE]
[14:00:00] [Server thread/INFO]: Stopping the server
[14:00:00] [Server thread/INFO]: Stopping server
[14:00:00] [Server thread/INFO]: Saving players
[14:00:00] [Server thread/INFO]: Saving worlds
[14:00:00] [Server thread/INFO]: Saving chunks for level 'world'/minecraft:the_nether
[14:00:00] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
[14:00:00] [Server thread/INFO]: Saving chunks for level 'world'/minecraft:the_end
[14:00:00] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
[14:00:00] [Server thread/INFO]: Saving chunks for level 'world'/minecraft:overworld
[14:00:03] [Server thread/INFO]: ThreadedAnvilChunkStorage (world): All chunks are saved
[14:00:04] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
[14:00:04] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
[14:00:04] [Server thread/INFO]: ThreadedAnvilChunkStorage (world): All chunks are saved
